"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.455046250E-1,-2.791442163E-2,9.131285548E-1,4.340402409E-2,9.145856340E-1
4.555016250E-1,-7.232486457E-2,1.180569291E0,6.353379041E-2,1.184487771E0
4.654976250E-1,-1.066948175E-1,1.582907081E0,3.694585711E-2,1.586928986E0
4.754946250E-1,-3.213137761E-2,1.900947452E0,8.029406518E-2,1.902913759E0
4.854906250E-1,1.283025146E-1,2.305576563E0,1.004153118E-1,2.311326039E0
4.954876250E-1,1.299692839E-1,2.611968040E0,1.194647625E-1,2.617926830E0
5.054836250E-1,4.914528504E-2,2.992792845E0,1.272640973E-1,2.995900603E0
5.154806250E-1,-3.977838904E-3,3.339596748E0,1.260692775E-1,3.341977817E0
5.254766250E-1,9.453814477E-3,3.688392162E0,1.521125883E-1,3.691539565E0
5.354726250E-1,2.409819048E-3,4.046993256E0,1.435654461E-1,4.049539635E0
5.454696250E-1,-5.518077314E-2,4.407465935E0,1.533168703E-1,4.410476952E0
5.554656250E-1,-1.790067926E-2,4.779665470E0,1.958971024E-1,4.783711751E0
5.654626250E-1,1.028145477E-1,5.113838196E0,2.345369011E-1,5.120246037E0
5.754586250E-1,8.350746334E-2,5.495755672E0,2.448436022E-1,5.501840810E0
5.854556250E-1,2.245689556E-2,5.844431877E0,2.643578947E-1,5.850450698E0
5.954516250E-1,1.684032381E-3,6.239665985E0,2.289495319E-1,6.243865176E0
6.054486250E-1,-4.961777106E-2,6.577018261E0,1.991823167E-1,6.580220720E0
6.154446250E-1,-3.959792480E-2,6.941016197E0,2.785383761E-1,6.946715589E0
6.254406250E-1,3.471172601E-2,7.303760052E0,2.887782156E-1,7.309549142E0
6.354376250E-1,2.313639410E-2,7.688299179E0,3.152055740E-1,7.694792662E0
6.454336250E-1,2.103382722E-2,7.999065399E0,3.856786788E-1,8.008385463E0
6.554306250E-1,6.705228984E-2,8.324671745E0,4.063059092E-1,8.334850939E0
6.654266250E-1,4.279435053E-2,8.636163712E0,3.921158016E-1,8.645166847E0
6.754236250E-1,1.502187736E-2,8.946324348E0,3.958612680E-1,8.955090795E0
6.854196250E-1,9.095193818E-4,9.253636360E0,3.626662791E-1,9.260740443E0
6.954166250E-1,-6.369850598E-3,9.556334496E0,3.890458643E-1,9.564252519E0
7.054126250E-1,-1.069349237E-2,9.851476669E0,3.736360073E-1,9.858565351E0
7.154086250E-1,-9.136940353E-3,1.012648964E1,3.570485115E-1,1.013278637E1
7.254056250E-1,-3.018709831E-2,1.041993809E1,3.761963546E-1,1.042677058E1
7.354016250E-1,-7.721000910E-2,1.070502758E1,4.531959891E-1,1.071489447E1
7.453986250E-1,-1.219939962E-1,1.100934696E1,4.883646071E-1,1.102084856E1
7.553946250E-1,-1.741707027E-1,1.132038307E1,5.351894498E-1,1.133436527E1
7.653917916E-1,-1.509601921E-1,1.165444946E1,4.885252118E-1,1.166566064E1
7.753877917E-1,-1.343472004E-1,1.198085690E1,4.587661922E-1,1.199038980E1
7.853847917E-1,-1.212218180E-1,1.232130814E1,4.368835390E-1,1.232964704E1
7.953807916E-1,-1.178601384E-1,1.261634922E1,4.098295271E-1,1.262355413E1
8.053767917E-1,-3.572745249E-2,1.291490459E1,3.840919435E-1,1.292066421E1
8.153737917E-1,6.717590615E-3,1.318864441E1,3.643250465E-1,1.319367724E1
8.253697917E-1,3.346451744E-2,1.344236755E1,3.613242209E-1,1.344726442E1
8.353667917E-1,1.023518965E-1,1.373143387E1,3.672374785E-1,1.373672506E1
8.453627916E-1,9.066168219E-2,1.398575592E1,3.776477575E-1,1.399114742E1
8.553597917E-1,5.529639497E-2,1.428511429E1,3.948157132E-1,1.429067624E1
8.653557917E-1,6.525076181E-2,1.454283333E1,4.209604859E-1,1.454907099E1
8.753527917E-1,5.636308342E-2,1.484313869E1,4.484756887E-1,1.485001931E1
8.853487917E-1,3.666074947E-2,1.515148163E1,4.915512502E-1,1.515949742E1
8.953457917E-1,7.043983042E-2,1.545358086E1,5.848227739E-1,1.546480329E1
9.053417917E-1,9.205697477E-2,1.578109360E1,7.240080833E-1,1.579796118E1
9.153377917E-1,6.061609462E-2,1.608253288E1,8.570720553E-1,1.610546835E1
9.253347917E-1,7.714260370E-3,1.638332367E1,1.026628256E0,1.641545977E1
9.353307917E-1,-1.069851890E-1,1.668062782E1,1.180625319E0,1.672269914E1
9.453277916E-1,-2.478935719E-1,1.703988838E1,1.220466495E0,1.708533833E1
9.553237917E-1,-4.068394005E-1,1.741264343E1,1.215803742E0,1.745977802E1
9.653207917E-1,-4.966619611E-1,1.786416626E1,1.092254996E0,1.790441650E1
9.753167916E-1,-5.347323418E-1,1.830388451E1,9.438484907E-1,1.833600220E1
9.853127917E-1,-5.378985405E-1,1.874575806E1,7.953828573E-1,1.877033334E1
9.953097917E-1,-5.021598339E-1,1.920903587E1,6.598127484E-1,1.922692322E1
1.005305792E0,-4.562368393E-1,1.961217308E1,5.568029881E-1,1.962537935E1
1.015302792E0,-4.094789326E-1,1.999152565E1,4.776660502E-1,2.000142334E1
1.025298792E0,-3.532278836E-1,2.044348145E1,4.308362305E-1,2.045107145E1
1.035295792E0,-2.931685448E-1,2.088140678E1,4.183270931E-1,2.088765412E1
1.045291792E0,-2.506200373E-1,2.129000282E1,4.263392091E-1,2.129574595E1
1.055288792E0,-2.556223571E-1,2.170067596E1,4.531566501E-1,2.170691206E1
1.065284792E0,-2.771497369E-1,2.208533669E1,4.964258373E-1,2.209265369E1
1.075280792E0,-2.992632091E-1,2.245790291E1,5.531738997E-1,2.246670788E1
1.085277792E0,-3.743757904E-1,2.274267578E1,6.099221110E-1,2.275393293E1
1.095273792E0,-4.963448644E-1,2.291727448E1,6.231487989E-1,2.293111733E1
1.105270792E0,-6.344348192E-1,2.310795403E1,6.010355353E-1,2.312447384E1
1.115266792E0,-7.551892996E-1,2.333063507E1,5.468403697E-1,2.334925862E1
1.125263792E0,-8.667581677E-1,2.356578255E1,4.530659616E-1,2.358606889E1
1.135259792E0,-9.568278790E-1,2.389781380E1,3.497648239E-1,2.391951838E1
1.145256792E0,-1.074775815E0,2.421061897E1,2.264191806E-1,2.423552103E1
1.155252792E0,-1.208775401E0,2.444742012E1,9.368916601E-2,2.447746446E1
1.165249792E0,-1.161863089E0,2.468614578E1,-4.432516173E-2,2.471351218E1
1.175245792E0,-8.674041033E-1,2.491074562E1,-1.253228039E-1,2.492615781E1
1.185241792E0,-6.601936817E-1,2.508348656E1,-2.222059518E-1,2.509315702E1
1.195238792E0,-8.602885604E-1,2.543239403E1,-1.926401854E-1,2.544766930E1